"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 08 02:59:21 GMT 2022","Sat Jan 08 02:59:22 GMT 2022","1034","API integration suite","SHOP - Customer Flow","com.template.project.api.tests.featureflow.SampleTest","com.template.project.api.tests.featureflow.SampleTest","testCustomerDetailsRetrieval","testCustomerDetailsRetrieval","Verify Customer creation and retrieve created Customer details"
"passed","Sat Jan 08 02:59:16 GMT 2022","Sat Jan 08 02:59:21 GMT 2022","5095","API integration suite","SHOP - Customer Flow","com.template.project.api.tests.featureflow.SampleTest","com.template.project.api.tests.featureflow.SampleTest","testCustomerCreation","testCustomerCreation","Verify Customer creation"
"passed","Sat Jan 08 02:59:16 GMT 2022","Sat Jan 08 02:59:22 GMT 2022","6088","API integration suite","SHOP - Customer Flow","com.template.project.api.tests.featureflow.SampleTest","com.template.project.api.tests.featureflow.SampleTest","testCustomerDeletion","testCustomerDeletion","Verify Customer deletion"
"passed","Sat Jan 08 02:59:22 GMT 2022","Sat Jan 08 02:59:24 GMT 2022","2036","API integration suite","SHOP - Customer Flow","com.template.project.api.tests.featureflow.SampleTest","com.template.project.api.tests.featureflow.SampleTest","testUpdateCustomerDetails","testUpdateCustomerDetails","Verify Customer creation and update Customer details"
